date,closing_price
1/1/1993,1198.48
2/1/1993,1339.88
3/1/1993,925.91
4/1/1993,1358.78
5/1/1993,935.48
6/1/1993,1007.05
7/1/1993,881.07
8/1/1993,895.68
9/1/1993,890.27
10/1/1993,814.82
11/1/1993,984.93
12/1/1993,833.8
1/1/1994,770.25
2/1/1994,770.98
3/1/1994,704.46
4/1/1994,592.56
5/1/1994,556.26
6/1/1994,469.29
7/1/1994,333.92
8/1/1994,785.33
9/1/1994,791.15
10/1/1994,654.98
11/1/1994,683.59
12/1/1994,647.87
1/1/1995,562.58
2/1/1995,549.26
3/1/1995,646.92
4/1/1995,579.93
5/1/1995,700.51
6/1/1995,630.58
7/1/1995,695.55
8/1/1995,723.87
9/1/1995,722.43
10/1/1995,717.32
11/1/1995,641.14
12/1/1995,555.29
1/1/1996,537.35
2/1/1996,552.93
3/1/1996,556.39
4/1/1996,681.16
5/1/1996,643.65
6/1/1996,804.25
7/1/1996,822.48
8/1/1996,809.94
9/1/1996,875.53
10/1/1996,976.71
11/1/1996,1032.95
12/1/1996,917.02
1/1/1997,964.74
2/1/1997,1040.27
3/1/1997,1234.62
4/1/1997,1393.75
5/1/1997,1285.18
6/1/1997,1250.27
7/1/1997,1189.76
8/1/1997,1221.06
9/1/1997,1097.38
10/1/1997,1180.39
11/1/1997,1139.63
12/1/1997,1194.1
1/1/1998,1204.43
2/1/1998,1206.53
3/1/1998,1243.02
4/1/1998,1343.45
5/1/1998,1411.21
6/1/1998,1339.2
7/1/1998,1316.92
8/1/1998,1150.22
9/1/1998,1242.9
10/1/1998,1217.32
11/1/1998,1247.42
12/1/1998,1146.7
1/1/1999,1134.67
2/1/1999,1090.09
3/1/1999,1158.05
4/1/1999,1120.93
5/1/1999,1279.33
6/1/1999,1689.43
7/1/1999,1601.46
8/1/1999,1627.12
9/1/1999,1570.7
10/1/1999,1504.56
11/1/1999,1434.97
12/1/1999,1366.58
1/1/2000,1535
2/1/2000,1714.58
3/1/2000,1800.22
4/1/2000,1836.32
5/1/2000,1894.55
6/1/2000,1928.11
7/1/2000,2023.54
8/1/2000,2021.2
9/1/2000,1910.16
10/1/2000,1961.29
11/1/2000,2070.61
12/1/2000,2073.48
1/1/2001,2065.61
2/1/2001,1959.18
3/1/2001,2112.77
4/1/2001,2119.18
5/1/2001,2214.26
6/1/2001,2218.03
7/1/2001,1920.32
8/1/2001,1834.14
9/1/2001,1764.87
10/1/2001,1689.17
11/1/2001,1747.99
12/1/2001,1645.97
1/1/2002,1491.67
2/1/2002,1524.7
3/1/2002,1603.91
4/1/2002,1667.75
5/1/2002,1515.73
6/1/2002,1732.76
7/1/2002,1651.59
8/1/2002,1666.62
9/1/2002,1581.62
10/1/2002,1507.5
11/1/2002,1434.18
12/1/2002,1357.65
1/1/2003,1499.81
2/1/2003,1511.93
3/1/2003,1510.58
4/1/2003,1521.44
5/1/2003,1576.26
6/1/2003,1486.02
7/1/2003,1476.74
8/1/2003,1421.98
9/1/2003,1367.16
10/1/2003,1348.3
11/1/2003,1397.22
12/1/2003,1497.04
1/1/2004,1590.73
2/1/2004,1675.07
3/1/2004,1741.62
4/1/2004,1595.59
5/1/2004,1555.91
6/1/2004,1399.16
7/1/2004,1386.2
8/1/2004,1342.06
9/1/2004,1396.7
10/1/2004,1320.54
11/1/2004,1340.77
12/1/2004,1266.5
1/1/2005,1191.82
2/1/2005,1306
3/1/2005,1181.24
4/1/2005,1159.15
5/1/2005,1060.74
6/1/2005,1080.94
7/1/2005,1083.03
8/1/2005,1162.8
9/1/2005,1155.61
10/1/2005,1092.82
11/1/2005,1099.26
12/1/2005,1161.06
1/1/2006,1258.05
2/1/2006,1299.03
3/1/2006,1298.3
4/1/2006,1440.22
5/1/2006,1641.3
6/1/2006,1672.21
7/1/2006,1612.73
8/1/2006,1658.64
9/1/2006,1752.42
10/1/2006,1837.99
11/1/2006,2099.29
12/1/2006,2675.47
1/1/2007,2786.33
2/1/2007,2881.07
3/1/2007,3183.98
4/1/2007,3841.27
5/1/2007,4109.65
6/1/2007,3820.7
7/1/2007,4471.03
8/1/2007,5218.83
9/1/2007,5552.3
10/1/2007,5954.77
11/1/2007,4871.78
12/1/2007,5261.56
1/1/2008,4383.39
2/1/2008,4348.54
3/1/2008,3472.71
4/1/2008,3693.11
5/1/2008,3433.35
6/1/2008,2736.1
7/1/2008,2775.72
8/1/2008,2397.37
9/1/2008,2293.78
10/1/2008,1728.79
11/1/2008,1871.16
12/1/2008,1820.81
1/1/2009,1990.66
2/1/2009,2082.85
3/1/2009,2373.21
4/1/2009,2477.57
5/1/2009,2632.93
6/1/2009,2959.36
7/1/2009,3412.06
8/1/2009,2667.75
9/1/2009,2779.43
10/1/2009,2995.85
11/1/2009,3195.3
12/1/2009,3277.14
